Date;Top;Bottoms;Shoes;Outerwear;Coat;Max temp;Min temp;Precipitation;Wind speed;Activity;Mood
2023-03-01;3;7;11;;18;6;-2.2;0;3.36;Work;1
2023-03-02;3;7;11;;18;7.8;-3.1;0;2.77;Work;2
2023-03-03;1;7;11;14;16;5;-0.5;0;6.49;Work;1
2023-03-04;1;6;12;14;16;3.9;-0.8;0;7.43;Relax;4
2023-03-05;1;8;10;13;18;2.6;-2.6;0.2;6.05;Relax;5
2023-03-06;1;6;12;14;16;3;-6.7;0;3.45;Relax;3
2023-03-07;1;8;12;13;17;2.6;-0.6;7.8;10.97;Relax;2
2023-03-08;1;6;10;13;18;2.2;-5.4;0.5;9.31;Relax;4
2023-03-09;1;7;11;14;18;3;-6.9;0.1;4.63;Work;3
2023-03-10;3;7;11;14;16;3.4;-3;0;4.88;Work;2
2023-03-11;3;7;11;14;16;4;-1.2;0.8;7.35;Work;3
2023-03-12;1;6;10;13;16;3.9;-0.3;1.1;7.94;Relax;4
2023-03-13;2;6;12;14;17;11;0.7;10.4;11.87;Relax;4
2023-03-14;2;8;10;13;15;10;2.7;2.8;11.06;Relax;3
2023-03-15;1;6;10;14;16;5.5;0.8;3.1;7.21;Relax;1
2023-03-16;1;7;12;13;15;5.6;-2.2;0.3;8.57;Relax;4
2023-03-17;3;7;11;;18;7.5;4.1;0.3;8.74;Work;1
2023-03-18;3;7;11;;17;10.8;5.4;3.9;4.17;Work;2
2023-03-19;3;7;11;;18;8;3.5;1.9;4.4;Work;1
2023-03-20;2;6;12;14;15;7.5;5.3;2.8;5.99;Relax;5
2023-03-21;2;8;10;18;;7.7;0.5;2.6;5.25;Relax;2
2023-03-22;2;6;12;13;17;9.6;7.2;5.8;8.29;Relax;2
2023-03-23;2;7;12;;17;11.5;6.2;6.8;8.43;Relax;3
2023-03-24;3;8;12;14;17;10.9;6.1;4.6;9.94;Relax;4
2023-03-25;3;7;11;;17;10.2;6.5;3.5;7.52;Work;2
2023-03-26;3;7;11;14;18;6.5;0.6;1;7.18;Work;1
2023-03-27;3;7;11;14;16;3.5;-1.3;1.9;5.42;Work;5
2023-03-28;1;6;10;13;16;4.6;-3;0;5.9;Relax;3
2023-03-29;2;8;11;14;15;7.8;1.5;3.1;5.71;Relax;3
2023-03-30;1;6;12;;17;9.3;5.1;12.4;6.86;Relax;2
2023-03-31;2;8;12;13;17;9.8;3.7;3.6;7.01;Relax;3
2023-04-01;2;6;10;14;15;7.3;0.6;0;6.8;Relax;4
2023-04-02;3;7;11;;18;7.8;-1.5;0;4.94;Work;5
2023-04-03;3;7;11;14;18;5.7;-3.1;0;3.19;Work;1
2023-04-04;3;7;11;;18;7.4;-2.3;0;4.1;Work;1
2023-04-05;1;6;10;14;16;6.8;-1.4;0.4;3.33;Relax;2
2023-04-06;1;7;12;13;15;7.5;2;0;5.67;Relax;3
2023-04-07;3;7;11;;18;7.5;-1.3;0;4.85;Relax;3
2023-04-08;2;6;10;13;;14;2.3;0;3.09;Relax;2
2023-04-09;2;6;10;;15;11.7;0.7;0;3.72;Relax;3
2023-04-10;3;7;11;14;;10.3;1.5;0;8.06;Work;1
2023-04-11;3;7;11;;17;10.3;5.6;8.9;8.6;Work;3
2023-04-12;3;7;11;;18;10.3;1.1;0.5;7.43;Work;4
2023-04-13;2;7;10;;17;10.4;6.5;7.7;7.19;Relax;2
2023-04-14;3;6;10;13;;10.7;3.1;3.1;4.81;Relax;3
2023-04-15;3;6;10;14;;13.4;7.1;0.6;7.41;Relax;2
2023-04-16;2;6;11;;15;12.6;7.1;0;4.16;Relax;2
2023-04-17;2;7;10;;18;13.4;2.2;0;3.61;Relax;3
2023-04-18;3;7;11;14;;14.9;2.2;0;4.53;Work;3
2023-04-19;3;7;11;;18;13.7;3.6;0;6.58;Work;2
2023-04-20;3;7;11;;;16.8;4.9;0;8.25;Work;1
2023-04-21;4;5;10;;15;15.8;4.2;0;5.28;Relax;5
2023-04-22;2;6;9;;;16.5;3.6;0;6.15;Relax;3
2023-04-23;4;7;10;;15;12.4;7.3;3.3;6.29;Relax;4
2023-04-24;2;6;11;;15;13;6.1;0.9;7;Relax;1
2023-04-25;1;7;12;13;15;8.8;6.1;0.6;7.31;Relax;5
2023-04-26;3;7;11;14;18;9.1;4.3;0.4;9.55;Work;4
2023-04-27;3;7;11;14;18;9.8;3.1;0.8;8.57;Work;3
2023-04-28;3;7;11;;18;11.2;-0.4;0;3.45;Work;2
2023-04-29;3;7;11;14;;13;2.2;0;7.69;Relax;1
2023-04-30;3;7;11;;17;9.7;3.9;0;7.1;Relax;1
2023-05-01;2;6;10;;15;14.1;2.9;0;5.95;Relax;1
2023-05-02;3;7;11;14;;11.1;6.1;0.1;5.77;Relax;1
2023-05-03;3;7;11;;17;11.8;4.2;0;5.28;Relax;3
2023-05-04;3;7;11;;18;13.7;1.8;0;6.31;Work;3
2023-05-05;3;7;11;;16;8.3;3.9;0;9.45;Work;3
2023-05-06;3;7;11;14;18;11;3.4;0;8.28;Work;2
2023-05-07;2;6;10;;15;14.5;2.8;0;5.88;Relax;2
2023-05-08;3;7;11;;;15;4;0;7.46;Relax;4
2023-05-09;4;5;10;;15;15.7;7.4;0;9.59;Relax;1
2023-05-10;2;6;9;;;17.6;9.7;0;8.99;Relax;2
2023-05-11;4;5;10;;;18.9;10.6;0;5.9;Relax;1
2023-05-12;3;7;11;;;20.3;7.3;0;4.97;Work;1
2023-05-13;3;7;11;;;20.8;6.1;0;5.46;Work;1
2023-05-14;3;7;11;;;20.5;8.9;0;4.69;Work;2
2023-05-15;4;5;9;;;21.1;9.1;3.1;3.67;Relax;2
2023-05-16;2;6;10;;15;14.1;9.8;2.5;6.41;Relax;3
2023-05-17;2;6;11;13;;12.3;6.5;0.9;9.36;Relax;3
2023-05-18;2;7;10;14;;13.8;3.6;0;4.68;Relax;4
2023-05-19;4;6;10;;;16.4;1.8;0;2.83;Relax;5
2023-05-20;3;7;11;;;17.5;3.4;0;4.52;Work;3
2023-05-21;3;5;11;;;22.5;9.4;0;4.49;Work;3
2023-05-22;4;7;11;;;22;12.5;0;5.64;Work;1
2023-05-23;2;6;10;14;17;14.3;10.8;4.7;4.86;Relax;5
2023-05-24;2;6;9;;;18.1;9.6;0;3.48;Relax;2
2023-05-25;4;5;10;;15;15.7;9.9;0;6.89;Relax;2
2023-05-26;4;6;9;;15;15;8;0;6.86;Relax;2
2023-05-27;4;7;9;;;18.2;5.4;0;3;Relax;4
2023-05-28;4;5;10;;;17;7.7;0;5.78;Work;5
2023-05-29;4;6;9;;15;16.9;5.6;0;5.31;Work;3
2023-05-30;4;7;9;;;20.3;7.6;0;3.22;Work;3
2023-05-31;2;6;9;;;19.5;8.5;0;6.62;Relax;4
2023-06-01;4;7;9;;;18.8;10.2;0.1;6.63;Relax;4
2023-06-02;4;6;9;;15;16.1;8.3;0;6.36;Relax;1
2023-06-03;4;7;9;;;18.6;3.6;0;4.31;Relax;2
2023-06-04;4;5;10;;;18.7;7.3;0;3.19;Relax;5
2023-06-05;3;7;11;;;21.6;8.2;0;2.24;Work;4
2023-06-06;4;7;11;;;22.7;9.1;0;3.45;Work;3
2023-06-07;3;5;11;;;23.3;8.1;0;2.86;Work;3
2023-06-08;4;5;9;;;23.1;8.7;0;3.34;Relax;4
2023-06-09;4;5;9;;;21.1;9.9;0;5.6;Relax;5
2023-06-10;4;5;9;;;21.2;10.5;0;7.61;Relax;5
2023-06-11;4;5;9;;;20.9;9.5;0;6.78;Relax;3
2023-06-12;4;5;9;;;22.7;9.6;0;6.44;Relax;2
2023-06-13;3;5;11;;;23.3;8.8;0;5.19;Work;2
2023-06-14;3;7;9;;;23.9;7.9;0;2.73;Work;3
2023-06-15;3;5;11;;;24;10.6;0;2.46;Work;5
2023-06-16;4;5;9;;17;23.2;13.8;5.2;3.6;Relax;4
2023-06-17;4;5;9;;17;21.4;10.7;15.8;3.84;Relax;2
2023-06-18;4;5;9;;;20.7;13.7;2.6;4.72;Relax;1
2023-06-19;4;5;9;;17;22.1;11.8;5.6;4.6;Relax;3
2023-06-20;4;5;9;;;23.6;15.6;1.6;4.53;Relax;4
2023-06-21;4;5;9;;17;24.7;16.5;15.2;6.76;Work;4
2023-06-22;4;5;9;;;23.5;14.8;0;4.24;Work;1
2023-06-23;4;5;9;;;20.7;14.8;0;6.16;Work;2
2023-06-24;4;5;9;;;22.8;13.2;0;5.33;Relax;5
2023-06-25;4;5;9;;;23.6;13.9;0.4;1.73;Relax;1
2023-06-26;4;5;9;;17;25.1;14.9;10.1;6.89;Relax;1
2023-06-27;4;6;10;;;18.2;14.2;0.7;8.75;Relax;4
2023-06-28;4;5;9;;;21.9;15.1;0.8;5.74;Relax;5
2023-06-29;3;7;11;;;21.3;14.4;0.4;3.58;Work;2
2023-06-30;3;7;11;;17;20.2;14.6;4.5;5.55;Work;2
2023-07-01;3;7;11;;17;17.3;13.3;6.8;8.24;Work;5